Code,Hospital Outpatient Price
25820,"$1,492"
25825,"$1,521"
25830,$null
25907,$null
25922,$435
25929,$466
25931,$774
26010,$null
26011,$344
26020,$727
26025,$700
26030,$714
26034,$416
26035,$787
26037,$728
26040,$369
26045,$711
26055,$364
26060,$357
26070,$371
26075,$684
26080,$386
26100,$684
26105,$685
26110,$371
26111,$391
26113,$417
26115,$374
26116,$413
26117,$689
26118,$748
26121,$736
26123,$783
26130,$710
26135,$726
26140,$408
26145,$409
26160,$369
26170,$388
26180,$396
26185,$418
26200,$396
26205,"$1,484"
26210,$396
26215,$729
26230,$716
26235,$404
26236,$394
26250,$827
26260,$774
26262,$432
26320,$378
26340,$378
26341,$59
26350,$764
26352,"$1,528"
26356,$774
26357,$793
26358,"$1,558"
26370,$771
26372,"$1,544"
26373,$791
26390,"$1,537"
26392,"$1,561"
26410,$425
26412,$758
26415,$785
26416,$799
26418,$430
26420,$763
26426,$717
26428,$774
26432,$414
26433,$730
26434,$null
26437,$748
26440,$435
26442,$812
26445,$736
26449,$756
26450,$708
26455,$398
26460,$null
26471,$747
26474,$436
26476,$744
26477,$741
26478,$747
26479,$750
26480,$772
26483,$null
26485,$null
26489,$807
26490,$null
26492,$800
26494,$null
26496,$null
26497,$null
26498,$849
26499,$789
26500,"$1,500"
26502,$766
26508,$751
26510,$null
26516,$764
26517,$788
26518,"$1,537"
26520,$751
26525,$442
26530,"$1,471"
26531,"$1,489"
26535,$704
26536,"$1,512"
26540,$755
26541,$782
26542,$759
26545,$762
26546,"$1,569"
26548,$775
26550,$null
26555,"$1,637"
26560,$432
26561,$811
26562,$889
26565,$757
26567,$759
26568,"$1,547"
26580,$null
26587,$823
26590,$589
26591,$713
26593,$744
26596,$778
26600,$103
26605,$104
26607,$718
26608,$713
26615,$731
26641,$null
26645,$386
26650,$713
26665,$null
26670,$108
26675,$null
26676,$718
26685,$731
26686,$740
26700,$108
26705,$386
26706,$706
26715,$731
26720,$83
26725,$106
26727,$711
26735,$735
26740,$89
26742,$374
26746,$763
26750,$83
26755,$100
26756,$701
26765,$717
26770,$98
26775,$123
26776,$706
26785,$725
26820,"$1,528"
26841,$null
26842,"$1,528"
26843,"$1,518"
26844,"$1,534"
26850,"$1,509"
26852,$null
26860,$null
26862,$768
26910,$767
26951,$756
26952,$752
26990,$751
26991,$411
27000,$383
27001,$723
27003,"$1,482"
27006,$758
27033,"$1,555"
27035,$837
27040,$347
27041,$448
27043,$634
27045,$686
27047,$613
27048,$662
27049,$821
27050,$387
27052,$421
27059,$896
27060,"$1,456"
27062,$null
27065,"$1,467"
27066,$778
27067,"$1,568"
27080,$717
27086,$574
27087,$738
27097,$null
27098,$754
27100,"$1,528"
27105,$789
27110,"$1,555"
27111,$795
27130,$null
27197,$70
27198,$106
27200,$83
27202,$721
27220,$126
27230,$140
27238,$400
27246,$122
27250,$79
27252,$454
27256,$91
27257,$377
27265,$128
27266,$422
27267,$705
27275,$342
27279,"$1,790"
27301,$642
27305,$712
27306,$684
27307,$697
27310,$761
27323,$342
27324,$623
27325,$480
27326,$471
27327,$370
27328,$665
27329,$746
27330,$701
27331,$711
27332,$745
27333,$734
27334,$752
27335,"$1,515"
27337,$624
27339,$690
27340,$691
27345,$713
27347,$721
27350,"$1,493"
27355,$737
27356,"$1,779"
27357,"$1,525"
27360,$795
27364,$848
27372,$620
27380,"$1,487"
27381,"$1,526"
27385,"$1,484"
27386,"$1,533"
27390,$706
27391,$731
27392,$758
27393,$null
27394,"$1,493"
27395,$791
27396,"$1,486"
27397,"$1,544"
27400,"$1,501"
27403,"$1,491"
27405,"$1,497"
27407,"$1,521"
27409,"$1,554"
27412,"$1,687"
27415,"$1,903"
27416,"$1,557"
27418,"$1,526"
27420,"$1,512"
27422,"$1,510"
27424,"$1,512"
27425,$707
27427,"$1,504"
27428,"$1,853"
27429,"$1,881"
27430,"$1,510"
27435,$776
27437,"$1,495"
27438,"$1,798"
27440,"$1,790"
27441,"$1,795"
27442,"$1,804"
27443,"$1,794"
27446,"$1,858"
27447,"$1,884"
27475,"$1,495"
27479,"$1,545"
27496,$726
27497,$732
27498,$437
27499,"$1,503"
27500,$140
27501,$143
27502,$455
27503,$464
27508,$144
27509,"$1,497"
27510,$441
27516,$142
27517,$443
27520,$105
27524,"$1,512"
27530,$103
27532,$732
27538,$135
27550,$139
27552,$null
27560,$113
27562,$142
27566,"$1,540"
27570,$336
27594,$715
27600,$694
27601,$703
27602,$709
27603,$618
27604,$680
27605,$342
27606,$669
27607,$734
27610,$744
27612,$729
27613,N/A
27614,$623
27615,$741
27616,$789
27618,$null
27619,$634
27620,$705
27625,$729
27626,$739
27630,$687
27632,$622
27634,$674
27635,$null
27637,"$1,511"
27638,"$1,510"
27640,$780
27641,$745
27647,$811
27650,"$1,493"
27652,"$1,496"
27654,"$1,505"
27656,$683
27658,$689
27659,"$1,456"
27664,"$1,435"
27665,"$1,447"
27675,$714
27676,"$1,484"
27680,$699
27681,$717
27685,$708
27686,$721
27687,$706
27690,"$1,489"
27691,"$1,510"
27695,"$1,459"
27696,"$1,471"
27698,"$1,489"
27700,"$1,504"
27702,"$1,822"
27704,$728
27705,"$1,511"
27707,$697
27709,"$1,858"
27720,"$1,536"
27726,$null
27730,$733
27732,$707
27734,$747
27740,$757
27742,$770
27745,"$1,511"
27750,$110
27752,$404
27756,"$1,478"
27758,"$1,809"
27759,"$1,829"
27760,$106
27762,$395
27766,"$1,483"
27767,$103
27768,$396
27769,"$1,507"
27780,$102
27781,$388
27784,"$1,505"
27786,$null
27788,$122
27792,"$1,491"
27808,$106
27810,$392
27814,"$1,514"
27816,$104
27818,$395
27822,"$1,536"
27823,"$1,558"
27824,$106
27825,$405
27826,"$1,532"
27827,"$1,853"
27828,"$1,894"
27829,"$1,503"
27830,$117
27831,$698
27832,"$1,514"
27840,$122
27842,$404
27846,"$1,507"
27848,"$1,519"
27860,$648
27870,"$1,831"
27871,"$1,769"
27884,$729
27889,"$1,488"
27892,$722
27893,"$1,485"
27894,$776
28001,N/A
28002,$null
28003,$666
28005,$728
28008,$674
28010,N/A
28011,$null
28020,$688
28022,$681
28024,$null
28035,$438
28039,$607
28041,$630
28043,$359
28045,$609
28046,$678
28047,$744
28050,$671
28052,$null
28054,$662
28055,$444
28060,$687
28062,$696
28070,"$1,430"
28072,$680
28080,$381
28086,$685
28088,$674
28090,$367
28092,$360
28100,$698
28102,"$1,485"
28103,"$1,439"
28104,$686
28106,"$1,447"
28107,"$1,431"
28108,$363
28110,$674
28111,$679
28112,$678
28113,$700
28114,$781
28116,$731
28118,$699
28119,$688
28120,$714
28122,$703
28124,N/A
28126,$665
28130,"$1,485"
28140,$700
28150,$671
28153,$668
28160,$669
28171,$834
28173,$758
28175,$398
28190,$160
28192,$369
28193,$380
28200,$680
28202,"$1,447"
28208,$679
28210,"$1,447"
28220,N/A
28222,$689
28225,$668
28226,$696
28230,N/A
28232,N/A
28234,$359
28238,"$1,459"
28240,$674
28250,$697
28260,$723
28261,$472
28262,"$1,581"
28264,$438
28270,$682
28272,N/A
28280,$684
28285,$692
28286,$675
28288,$702
28289,$707
28291,$null
28292,$712
28295,$735
28296,$717
28297,"$1,482"
28298,"$1,463"
28299,"$1,480"
28300,"$1,492"
28302,"$1,505"
28304,"$1,484"
28305,"$1,496"
28306,"$1,443"
28307,"$1,466"
28308,$693
28309,"$1,542"
28310,"$1,435"
28312,$null
28313,$687
28315,$680
28320,"$1,754"
28322,"$1,477"
28340,$696
28341,$711
28344,$671
28345,$377
28400,$90
28405,$126
28406,"$1,481"
28415,"$1,584"
28420,"$1,888"
28430,$86
28435,$372
28436,"$1,462"
28445,$null
28446,"$1,605"
28450,$82
28455,N/A
28456,"$1,437"
28465,"$1,490"
28470,$85
28475,$90
28476,$693
28485,"$1,475"
28490,$69
28495,$74
28496,$671
28505,$714
28510,$null
28515,$73
28525,$697
28530,$64
28531,"$1,399"
28540,$79
28545,$671
28546,$377
28555,"$1,494"
28570,$84
28575,$685
28576,"$1,441"
28585,"$1,503"
28600,$76
28605,$106
28606,$694
28615,"$1,527"
28630,$66
28635,$331
28636,$660
28645,$712
28660,$62
28665,$null
28666,$650
28675,$698
28705,"$1,872"
28715,"$1,817"
28725,"$1,786"
28730,"$1,775"
28735,"$1,785"
28737,"$1,768"
28740,"$1,485"
28750,"$1,477"
28755,"$1,429"
28760,"$1,476"
28810,$null
28820,$650
28825,$649
28890,N/A
29000,$90
29010,$82
29015,$86
29035,$79
29040,$85
29044,$63
29046,$88
29049,$64
29055,$78
29058,$69
29065,$64
29075,$63
29085,$43
29086,$39
29105,$38
29200,N/A
29305,$82
29325,$86
29345,$70
29355,$71
29358,$71
29365,$68
29405,$62
29425,N/A
29435,$68
29440,N/A
29445,$70
29450,$52
29505,$null
29515,$39
29540,N/A
29580,$35
29581,$35
29584,$33
29700,N/A
29705,N/A
29710,$67
29720,$38
29730,$38
29740,$64
29750,$66
29800,$722
29804,$733
29805,$null
29806,"$1,572"
29807,"$1,567"
29819,$733
29820,"$1,469"
29821,$734
29822,$724
29823,$734
29824,$750
29825,$732
29826,$null
29827,"$1,574"
29828,"$1,544"
29830,$707
29834,$714
29835,$717
29836,"$1,479"
29837,$720
29838,$734
29840,$706
29843,$713
29844,$715
29845,$733
29846,$720
29847,"$1,471"
29848,$408
29850,$430
29851,$490
29855,"$1,517"
29856,"$1,828"
29860,"$1,493"
29861,"$1,504"
29862,"$1,524"
29863,$777
29866,"$1,571"
29867,"$1,884"
29868,"$1,691"
29870,$698
29871,$718
29873,$723
29874,$723
29875,$715
29876,$745
29877,$739
29879,$747
29880,$728
29881,$724
29882,$752
29883,$783
29884,$739
29885,"$1,513"
29886,$null
29887,"$1,513"
29888,"$1,555"
29889,"$1,874"
29891,$749
29892,"$1,490"
29893,$703
29894,$716
29895,$707
29897,$714
29898,$727
29899,"$1,561"
29900,$717
29901,$724
29902,$420
29904,$743
29905,"$1,464"
29906,$745
29907,"$1,806"
29914,"$1,559"
29915,"$1,564"
29916,"$1,563"
30000,$70
30020,$128
30100,N/A
30110,N/A
30115,$705
30117,$694
30118,$753
30120,$696
30124,$350
30125,"$1,244"
30130,$695
30140,$647
30150,"$1,273"
30160,"$1,276"
30200,N/A
30210,N/A
30220,$315
30310,$654
30320,$386
30460,"$1,278"
30462,"$1,428"
30465,"$1,318"
30468,"$1,148"
30469,"$1,144"
30520,$746
30540,"$1,261"
30545,"$1,313"
30560,$133
30580,"$1,205"
30600,"$1,190"
30620,"$1,248"
30630,$745
30801,$320
30802,$330
30903,$39
30905,$44
30906,$71
30915,$726
30920,$779
30930,$636
31000,$67
31002,$327
31020,$680
31030,"$1,216"
31032,"$1,232"
31040,"$1,274"
31050,"$1,217"
31051,"$1,252"
31070,"$1,209"
31075,"$1,278"
31080,"$1,330"
31081,"$1,345"
31084,"$1,353"
31085,"$1,361"
31086,"$1,347"
31087,"$1,336"
31090,"$1,334"
31200,"$1,238"
31201,$444
31205,$798
31231,$49
31233,$103
31235,$354
31237,$354
31238,$355
31239,$832
31240,$354
31253,"$1,401"
31254,"$1,351"
31255,"$1,367"
31256,$748
31257,"$1,390"
31259,"$1,395"
31267,"$1,355"
31276,"$1,377"
31287,"$1,343"
31288,"$1,349"
31295,"$1,334"
31296,N/A
31297,N/A
31298,"$1,353"
31300,$859
31400,"$1,314"
31420,"$1,279"
31500,$73
31502,$52
31505,$46
31510,$736
31511,$63
31512,$738
31513,$102
31515,$98
31520,$107
31525,$354
31526,$353
31527,$751
31528,$741
31529,$744
31530,$361
31531,$754
31535,$749
31536,$753
31540,$760
31541,$764
31545,$783
31546,"$1,410"
31551,"$1,418"
31552,"$1,408"
31553,"$1,446"
31554,"$1,446"
31560,"$1,364"
31561,"$1,370"
31570,$757
31571,$761
31572,$748
31573,N/A
31574,$352
31575,$50
31576,$346
31577,$103
31578,$742
31579,$100
31580,"$1,367"
31590,"$1,297"
31591,"$1,332"
31592,"$1,456"
31603,$352
31605,$110
31611,$719
31612,$622
31613,$696
31614,"$1,255"
31615,$126
31622,$348
31623,$348
31624,$348
31625,$352
31626,"$1,341"
31628,$746
31629,$748
31630,$751
31631,"$1,347"
31634,"$1,340"
31635,$356
31636,"$1,345"
31638,"$1,351"
31640,$760
31641,$761
31643,$355
31645,$351
31646,$104
31647,"$1,343"
31648,$750
31649,$335
31652,$755
31653,$759
31717,$97
31730,$351
31750,"$1,380"
31755,"$1,455"
31800,$null
31820,$678
31825,$709
31830,$686
32400,$324
32408,$337
32550,$698
32552,$149
32553,$297
32554,$136
32555,$139
32556,$385
32557,$333
32900,$null
32960,$136
32994,"$1,715"
32998,"$1,182"
33016,$349
33206,"$1,719"
33207,$null
33208,"$1,731"
33210,"$1,648"
33211,"$1,650"
33212,"$1,680"
33213,"$1,697"
33214,"$1,724"
33215,$667
33216,"$1,689"
33217,"$1,689"
33218,$823
33220,$821
33221,"$1,701"
33222,$413
33223,$426
33224,"$1,730"
33226,$700
33227,"$1,683"
33228,"$1,700"
33229,"$1,704"
33230,"$1,704"
33231,"$1,709"
33233,"$1,663"
33234,$841
33235,$870
33240,"$1,703"
33241,$789
33249,"$1,807"
33262,"$1,703"
33263,"$1,706"
33264,"$1,709"
33270,"$1,740"
33271,"$1,705"
33273,$825
33274,"$1,724"
33275,$704
33285,"$1,634"
33286,$150
33289,"$1,696"
33900,"$1,743"
33901,"$1,777"
33902,"$1,772"
33903,"$1,798"
34490,$717
35188,"$1,303"
35207,$755
35875,"$1,160"
35876,"$1,227"
36002,$139
36260,"$1,176"
36261,$829
36262,$810
36430,N/A
36440,$91
36450,$114
36455,$106
36465,$369
36466,$376
36470,N/A
36471,$89
36473,$641
36475,$660
36478,$660
36482,N/A
36511,$313
36512,$312
36513,$102
36514,$310
36516,$897
36522,$899
36555,$623
36556,$623
36557,"$1,109"
36558,$656
36560,$682
36561,$671
36563,"$1,117"
36565,$672
36566,"$1,116"
36568,$322
36569,$323
36570,$672
36571,$667
36572,$134
36573,$320
36575,$125
36576,$340
36578,$646
36580,$317
36581,$642
36582,$662
36583,"$1,111"
36584,$316
36585,$661
36589,$145
36590,$341
36593,N/A
36595,$641
36596,$313
36597,$316
36640,$629
36800,"$1,070"
36810,$647
36815,"$1,072"
36818,"$1,179"
36819,"$1,187"
36820,"$1,186"
36821,$733
36825,"$1,199"
36830,"$1,175"
36831,"$1,165"
36832,"$1,192"
36833,"$1,202"
36835,$701
36836,"$1,700"
36837,"$1,720"
36860,$326
36861,"$1,073"
36901,$337
36902,"$1,134"
36903,"$1,692"
36904,"$1,159"
36905,"$1,716"
36906,"$1,729"
37184,"$1,714"
37187,"$1,706"
37188,$660
37192,$672
37193,$673
37197,$664
37200,"$1,087"
37211,"$1,120"
37212,$671
37220,"$1,165"
37221,"$1,725"
37224,"$1,173"
37225,"$1,746"
37226,"$1,730"
37227,"$1,768"
37228,"$1,735"
37229,"$1,763"
37230,"$1,764"
37231,"$1,771"
37236,"$1,716"
37238,"$1,690"
37241,"$1,713"
37242,"$1,722"
37243,"$1,738"
37246,"$1,155"
37248,"$1,145"
37500,"$1,168"
37607,$679
37609,$348
37650,$695
37700,$654
37718,$683
37722,$696
37735,$719
37760,$718
37761,$711
37765,N/A
37766,N/A
37780,$652
37785,$656
37790,$759
38220,N/A
38221,N/A
38222,$null
38230,$331
38232,$917
38242,$316
38243,$316
38300,$582
38305,$639
38308,$818
38500,$776
38505,$324
38510,$808
38520,$818
38525,$813
38530,$837
38531,$814
38542,"$1,202"
38550,$829
38555,"$1,444"
38570,"$1,200"
38571,"$1,761"
38572,"$1,808"
38573,"$1,863"
38700,"$1,400"
38740,"$1,237"
38745,"$1,273"
38760,"$1,406"
40490,$59
40500,$686
40510,$682
40520,$683
40525,$722
40527,"$1,239"
40530,$693
40650,$166
40652,$175
40654,$374
40700,"$1,313"
40701,"$1,348"
